sport,image
Aquatics,Swimming_pictogram.svg
Archery,Archery_pictogram.svg
Athletics,Athletics_pictogram.svg
Badminton,Badminton_pictogram.svg
Baseball,Baseball_pictogram.svg
Basketball,Basketball_pictogram.svg
Basque Pelota,Basque_pelota_pictogram.svg
Boxing,Boxing_pictogram.svg
Canoe / Kayak,Canoeing_(slalom)_pictogram.svg
Cricket,Cricket_pictogram.svg
Croquet,Croquet_pictogram.svg
Cycling,Cycling_(road)_pictogram.svg
Equestrian,Equestrian_pictogram.svg
Fencing,Fencing_pictogram.svg
Football,Football_pictogram.svg
Golf,Golf_pictogram.svg
Gymnastics,Gymnastics_(artistic)_pictogram.svg
Handball,Handball_pictogram.svg
Hockey,Field_hockey_pictogram.svg
Ice Hockey,Ice_hockey_pictogram.svg
Jeu de paume,Jeu_de_paume_pictogram.svg
Judo,Judo_pictogram.svg
Lacrosse,Lacrosse_pictogram.svg
Modern Pentathlon,Modern_pentathlon_pictogram.svg
Polo,Polo_pictogram.svg
Rackets,Racquets_pictogram.svg
Roque,Roque_pictogram.svg
Rowing,Rowing_pictogram.svg
Rugby,Rugby_union_pictogram.svg
Sailing,Sailing_pictogram.svg
Shooting,Shooting_pictogram.svg
Skating,Figure_skating_pictogram.svg
Softball,Softball_pictogram.svg
Table Tennis,Table_tennis_pictogram.svg
Taekwondo,Taekwondo_pictogram.svg
Tennis,Tennis_pictogram.svg
Triathlon,Triathlon_pictogram.svg
Tug of War,Tug_of_war_pictogram.svg
Volleyball,Volleyball_(indoor)_pictogram.svg
Water Motorsports,Water_motorsports_pictogram.svg
Weightlifting,Weightlifting_pictogram.svg
Wrestling,Wrestling_pictogram.svg
